epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
136,1349.52,0.64188,0.36752,0.97448,0.0039,0.98986,0.98835,0.98862,0.82027,0.60577,0.29511,0.98719,0.00258,0.000273655,0.000273655,0.000273655
137,1359.08,0.63685,0.36801,0.96822,0.00359,0.99114,0.98907,0.98776,0.82439,0.59549,0.29808,0.9817,0.00276,0.000271327,0.000271327,0.000271327
138,1368.74,0.62899,0.36516,0.95989,0.0036,0.9922,0.98972,0.98902,0.82696,0.59197,0.29235,0.98343,0.00283,0.000268998,0.000268998,0.000268998
139,1378.76,0.64317,0.36785,0.97493,0.00402,0.98829,0.98742,0.98671,0.83392,0.57208,0.2884,0.97309,0.00275,0.00026667,0.00026667,0.00026667
140,1389.02,0.62523,0.36177,0.96847,0.00393,0.99105,0.98921,0.98783,0.83192,0.57489,0.28983,0.97365,0.00255,0.000264341,0.000264341,0.000264341
141,1399.11,0.62461,0.3659,0.96453,0.00365,0.99028,0.99013,0.98862,0.83444,0.56984,0.28994,0.96971,0.00261,0.000262013,0.000262013,0.000262013
142,1409.04,0.63037,0.3669,0.97106,0.00349,0.98944,0.99025,0.98744,0.83478,0.57099,0.28788,0.9702,0.00258,0.000259684,0.000259684,0.000259684
143,1419.22,0.62929,0.36062,0.96959,0.00388,0.99176,0.9874,0.98812,0.8315,0.57857,0.28861,0.97566,0.00263,0.000257356,0.000257356,0.000257356
144,1429.52,0.62605,0.36308,0.96713,0.0034,0.99034,0.99009,0.98806,0.83217,0.57915,0.28877,0.97404,0.00262,0.000255027,0.000255027,0.000255027
145,1439.79,0.6201,0.36529,0.96349,0.00384,0.98972,0.98844,0.98856,0.83293,0.57657,0.28774,0.97523,0.00268,0.000252699,0.000252699,0.000252699
146,1450.04,0.62653,0.3614,0.9661,0.00361,0.99136,0.98999,0.98715,0.82979,0.58092,0.29042,0.9784,0.00265,0.00025037,0.00025037,0.00025037
147,1460.22,0.6328,0.36434,0.96785,0.00395,0.98854,0.98819,0.98759,0.83027,0.5736,0.28766,0.97383,0.00263,0.000248042,0.000248042,0.000248042
148,1470.41,0.62974,0.36293,0.97132,0.00382,0.99075,0.98913,0.98828,0.83286,0.5725,0.28942,0.96958,0.00256,0.000245713,0.000245713,0.000245713
149,1480.57,0.62024,0.35354,0.96389,0.00334,0.99063,0.98912,0.98788,0.83457,0.57296,0.28776,0.97039,0.00254,0.000243385,0.000243385,0.000243385
150,1490.68,0.617,0.35782,0.96215,0.00358,0.99054,0.98867,0.98801,0.8297,0.57086,0.28895,0.9705,0.00245,0.000241056,0.000241056,0.000241056
151,1501.04,0.62671,0.35886,0.96713,0.00365,0.99013,0.98807,0.98778,0.83034,0.57615,0.28836,0.97364,0.0025,0.000238728,0.000238728,0.000238728
152,1511.73,0.61873,0.35492,0.96063,0.00367,0.99017,0.98834,0.9883,0.83327,0.56935,0.28508,0.96887,0.00255,0.0002364,0.0002364,0.0002364
153,1522.06,0.61743,0.35419,0.96062,0.00356,0.99206,0.98774,0.98909,0.82538,0.58878,0.29488,0.97644,0.00274,0.000234071,0.000234071,0.000234071
154,1532.01,0.61445,0.35422,0.95279,0.0036,0.9903,0.98857,0.98842,0.83599,0.57074,0.28826,0.97223,0.00266,0.000231743,0.000231743,0.000231743
155,1542.13,0.6247,0.35617,0.96917,0.0037,0.9907,0.98841,0.98898,0.83107,0.57433,0.28769,0.97124,0.00249,0.000229414,0.000229414,0.000229414
156,1552.29,0.61361,0.3529,0.95896,0.00321,0.98925,0.98908,0.98851,0.83439,0.56969,0.28276,0.97488,0.0027,0.000227086,0.000227086,0.000227086
157,1562.68,0.61877,0.35467,0.96206,0.00338,0.99022,0.98766,0.98841,0.83452,0.56928,0.28515,0.96951,0.00237,0.000224757,0.000224757,0.000224757
158,1573.1,0.60637,0.34988,0.95722,0.00354,0.98572,0.9897,0.98784,0.83679,0.55782,0.2808,0.96534,0.00251,0.000222429,0.000222429,0.000222429
159,1583.31,0.61541,0.34936,0.96181,0.00359,0.9892,0.98916,0.98845,0.83727,0.56711,0.2849,0.96883,0.00251,0.0002201,0.0002201,0.0002201
