epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
110,1121.84,0.39817,0.24901,1.0311,0.00149,0.99994,1,0.995,0.9403,0.34117,0.20846,0.97633,0.00176,0.00113672,0.00113672,0.00113672
111,1130.68,0.39011,0.24255,1.01729,0.00099,0.99904,1,0.995,0.94991,0.31679,0.19745,0.96976,0.00185,0.0011288,0.0011288,0.0011288
112,1139.45,0.38934,0.24172,1.01782,0.00093,0.99995,1,0.995,0.95524,0.30665,0.19275,0.96939,0.0019,0.00112088,0.00112088,0.00112088
113,1148.68,0.38225,0.2362,1.01863,0.0013,0.99994,1,0.995,0.95196,0.31,0.1862,0.97335,0.00182,0.00111296,0.00111296,0.00111296
114,1158.31,0.3897,0.24112,1.0234,0.0011,0.99992,1,0.995,0.95167,0.31511,0.19502,0.97553,0.00168,0.00110504,0.00110504,0.00110504
115,1167.68,0.39207,0.24767,1.02023,0.0012,0.99994,1,0.995,0.94689,0.32383,0.19407,0.97336,0.00177,0.00109712,0.00109712,0.00109712
116,1176.78,0.39334,0.24545,1.0311,0.00101,0.99992,1,0.995,0.9516,0.32516,0.20265,0.97483,0.0016,0.0010892,0.0010892,0.0010892
117,1185.76,0.39656,0.24776,1.0235,0.00121,0.99901,1,0.99496,0.94377,0.3364,0.20846,0.98995,0.00164,0.00108128,0.00108128,0.00108128
118,1194.73,0.3919,0.24527,1.03,0.00136,0.99992,1,0.995,0.95346,0.30779,0.19853,0.97118,0.00151,0.00107336,0.00107336,0.00107336
119,1203.86,0.39341,0.2464,1.0256,0.00102,0.99902,1,0.995,0.95057,0.31896,0.2081,0.98646,0.00169,0.00106544,0.00106544,0.00106544
120,1213.21,0.38641,0.24051,1.01164,0.00106,0.99994,1,0.995,0.95535,0.31105,0.19512,0.96709,0.00154,0.00105752,0.00105752,0.00105752
121,1222.64,0.38999,0.24126,1.0216,0.00096,0.99993,1,0.995,0.95215,0.31602,0.19928,0.96952,0.00148,0.0010496,0.0010496,0.0010496
122,1232.11,0.38768,0.23936,1.01723,0.00107,0.99995,1,0.995,0.9524,0.3128,0.19313,0.97577,0.00157,0.00104168,0.00104168,0.00104168
123,1241.3,0.39853,0.24946,1.03,0.0011,0.99993,1,0.995,0.94573,0.3197,0.1997,0.97437,0.00185,0.00103376,0.00103376,0.00103376
124,1250.5,0.38824,0.2405,1.02494,0.00135,1,1,0.995,0.95568,0.30486,0.18864,0.968,0.0018,0.00102584,0.00102584,0.00102584
125,1259.9,0.3835,0.23723,1.02249,0.00111,0.99993,1,0.995,0.95226,0.31392,0.19528,0.97539,0.00176,0.00101792,0.00101792,0.00101792
126,1269.65,0.39627,0.24556,1.02679,0.0013,0.99994,1,0.995,0.94959,0.32264,0.20073,0.96657,0.00155,0.00101,0.00101,0.00101
127,1279.4,0.39277,0.24426,1.03216,0.00112,0.99995,1,0.995,0.95159,0.31224,0.20306,0.97777,0.00147,0.00100208,0.00100208,0.00100208
128,1289.09,0.39313,0.24291,1.02877,0.00116,0.99994,1,0.995,0.95343,0.31622,0.19871,0.96932,0.00163,0.00099416,0.00099416,0.00099416
129,1298.03,0.39761,0.246,1.02458,0.00092,0.99993,1,0.995,0.94597,0.33475,0.20314,0.97319,0.00199,0.00098624,0.00098624,0.00098624
130,1307.39,0.38609,0.23955,1.01897,0.00117,1,1,0.995,0.95428,0.30722,0.19099,0.96584,0.00163,0.00097832,0.00097832,0.00097832
131,1316.96,0.38165,0.23768,1.01876,0.00095,0.99994,1,0.995,0.95234,0.31712,0.19543,0.96869,0.00154,0.0009704,0.0009704,0.0009704
132,1325.99,0.39018,0.23939,1.02913,0.00108,0.99992,1,0.995,0.95385,0.30913,0.19131,0.96761,0.00157,0.00096248,0.00096248,0.00096248
133,1335.06,0.39018,0.23676,1.02174,0.00125,0.99994,1,0.995,0.95298,0.31003,0.19174,0.97175,0.0015,0.00095456,0.00095456,0.00095456
134,1344.29,0.3797,0.23041,1.01652,0.00106,0.99994,1,0.995,0.95236,0.31517,0.19093,0.96795,0.00175,0.00094664,0.00094664,0.00094664
135,1353.51,0.38075,0.23286,1.01389,0.00108,0.99975,1,0.995,0.95016,0.31717,0.19633,0.98215,0.00161,0.00093872,0.00093872,0.00093872
136,1362.49,0.39189,0.23873,1.01822,0.00108,0.99901,1,0.99498,0.94668,0.31834,0.19963,0.97217,0.0015,0.0009308,0.0009308,0.0009308
137,1371.58,0.38289,0.23242,1.01726,0.00081,0.99994,1,0.995,0.95309,0.3202,0.19626,0.97382,0.00147,0.00092288,0.00092288,0.00092288
138,1380.59,0.37179,0.22912,1.01849,0.00099,0.99994,1,0.995,0.95015,0.31616,0.19024,0.96846,0.00144,0.00091496,0.00091496,0.00091496
139,1389.57,0.38262,0.23605,1.02323,0.00124,0.99994,1,0.995,0.95478,0.30631,0.18811,0.9705,0.00147,0.00090704,0.00090704,0.00090704
140,1399.08,0.37843,0.23219,1.01354,0.001,0.99903,1,0.99497,0.95722,0.30377,0.18649,0.9637,0.00149,0.00089912,0.00089912,0.00089912
141,1408.42,0.37539,0.23332,1.01825,0.00085,0.99994,1,0.995,0.95639,0.3042,0.19174,0.96776,0.00148,0.0008912,0.0008912,0.0008912
142,1417.73,0.3812,0.23526,1.01996,0.00101,0.99902,1,0.99497,0.95178,0.30619,0.19043,0.96921,0.00142,0.00088328,0.00088328,0.00088328
143,1426.93,0.38093,0.23297,1.0161,0.00124,0.99888,1,0.995,0.94826,0.32435,0.20328,0.97798,0.00153,0.00087536,0.00087536,0.00087536
144,1436.15,0.38321,0.23387,1.02493,0.00123,0.99895,1,0.99498,0.95593,0.31111,0.19245,0.97259,0.00152,0.00086744,0.00086744,0.00086744
145,1445.62,0.38709,0.23709,1.02417,0.0013,0.99902,1,0.995,0.95593,0.30325,0.18908,0.97307,0.00133,0.00085952,0.00085952,0.00085952
